time, A.l-A.r,A.p-P.a1,A.p-P.a2,A.p-P.a3,P.d-P.d,size rank 1,size rank 2,size rank 3
0, 0, 0, 0, 0, 0, 1, 1
0.0001, 1271, 1355, 1270, 1307, 625, 4, 4, 4
0.0002, 2469, 2571, 2520, 2595, 1290, 5, 5, 5
0.00030000000000000003, 3610, 3793, 3790, 3788, 1901, 6, 5, 5
0.0004, 4508, 4957, 4968, 4997, 2505, 6, 6, 6
0.0005, 5283, 6011, 5969, 6137, 3053, 7, 7, 6
0.0006000000000000001, 5968, 7057, 7025, 7214, 3600, 7, 7, 7
0.0007000000000000001, 6583, 8073, 8026, 8192, 4204, 9, 8, 7
0.0008000000000000001, 7234, 8974, 8935, 9117, 4738, 8, 8, 7
0.0009000000000000002, 7750, 9861, 9869, 10058, 5262, 9, 8, 8
0.0010000000000000002, 8260, 10795, 10781, 11002, 5793, 10, 9, 8
0.0011000000000000003, 8747, 11594, 11610, 11836, 6263, 11, 10, 8
0.0012000000000000003, 9082, 12342, 12328, 12613, 6783, 11, 9, 9
0.0013000000000000004, 9412, 13116, 13096, 13452, 7257, 15, 11, 11
0.0014000000000000004, 9756, 13802, 13808, 14168, 7714, 15, 11, 10
0.0015000000000000005, 10180, 14480, 14548, 14948, 8136, 18, 11, 10
0.0016000000000000005, 10470, 15176, 15235, 15584, 8585, 14, 12, 12
0.0017000000000000006, 10771, 15798, 15933, 16270, 9012, 14, 13, 12
0.0018000000000000006, 11058, 16441, 16581, 16905, 9425, 18, 13, 13
0.0019000000000000006, 11247, 17074, 17193, 17463, 9811, 18, 14, 13
0.0020000000000000005, 11425, 17605, 17767, 18103, 10183, 14, 13, 13
0.0021000000000000003, 11582, 18153, 18322, 18654, 10555, 15, 14, 14
0.0022, 11708, 18703, 18816, 19219, 10974, 15, 15, 14
0.0023, 11859, 19212, 19358, 19727, 11330, 15, 15, 14
0.0024, 12018, 19681, 19883, 20176, 11673, 15, 14, 14
0.0024999999999999996, 12193, 20189, 20340, 20678, 11997, 16, 15, 14
0.0025999999999999994, 12301, 20657, 20730, 21135, 12354, 16, 15, 15
0.0026999999999999993, 12447, 21069, 21150, 21577, 12671, 16, 15, 15
0.002799999999999999, 12522, 21508, 21581, 21999, 13025, 16, 15, 15
0.002899999999999999, 12639, 21862, 22002, 22367, 13335, 16, 15, 15
0.0029999999999999988, 12724, 22225, 22378, 22744, 13692, 17, 16, 16
0.0030999999999999986, 12841, 22560, 22731, 23095, 14007, 18, 16, 15
0.0031999999999999984, 12896, 22940, 23138, 23477, 14330, 18, 17, 16
0.0032999999999999982, 13019, 23308, 23470, 23778, 14608, 18, 17, 16
0.003399999999999998, 13159, 23635, 23849, 24100, 14885, 21, 17, 16
0.003499999999999998, 13271, 23960, 24160, 24440, 15156, 18, 17, 16
0.0035999999999999977, 13384, 24220, 24462, 24744, 15426, 20, 18, 17
0.0036999999999999976, 13489, 24496, 24719, 25075, 15686, 20, 17, 16
0.0037999999999999974, 13579, 24828, 25012, 25359, 15955, 20, 20, 17
0.0038999999999999972, 13701, 25144, 25263, 25609, 16211, 20, 18, 17
0.0039999999999999975, 13763, 25380, 25542, 25860, 16480, 20, 18, 17
0.004099999999999998, 13723, 25633, 25775, 26144, 16759, 20, 18, 18
0.004199999999999998, 13791, 25915, 26010, 26380, 17043, 24, 20, 19
0.004299999999999998, 13782, 26111, 26264, 26645, 17299, 26, 23, 21
0.0043999999999999985, 13904, 26372, 26500, 26860, 17509, 23, 20, 19
0.004499999999999999, 13967, 26578, 26729, 27071, 17744, 22, 21, 19
0.004599999999999999, 14053, 26803, 26929, 27282, 17961, 21, 20, 19
0.004699999999999999, 14185, 26976, 27077, 27520, 18195, 21, 20, 19
0.0048, 14260, 27205, 27255, 27735, 18403, 21, 20, 20
0.0049, 14320, 27380, 27412, 27899, 18611, 22, 22, 21
0.005, 14466, 27526, 27559, 28098, 18790, 24, 22, 22
0.0051, 14528, 27693, 27703, 28193, 18936, 30, 25, 23
0.005200000000000001, 14592, 27828, 27861, 28397, 19092, 29, 25, 24
0.005300000000000001, 14561, 27991, 28011, 28581, 19281, 29, 27, 25
0.005400000000000001, 14584, 28123, 28128, 28715, 19438, 39, 27, 26
0.005500000000000001, 14660, 28254, 28259, 28898, 19583, 36, 26, 21
0.005600000000000002, 14635, 28430, 28414, 29019, 19760, 32, 26, 20
0.005700000000000002, 14730, 28572, 28567, 29160, 19910, 33, 26, 22
0.005800000000000002, 14814, 28666, 28693, 29313, 20084, 28, 26, 23
0.0059000000000000025, 14870, 28812, 28844, 29424, 20214, 29, 26, 21
0.006000000000000003, 15000, 28943, 28965, 29514, 20341, 29, 24, 22
0.006100000000000003, 15036, 29070, 29088, 29619, 20523, 29, 24, 22
0.006200000000000003, 15146, 29220, 29215, 29714, 20652, 35, 28, 22
0.0063000000000000035, 15131, 29346, 29344, 29826, 20807, 25, 24, 23
0.006400000000000004, 15179, 29410, 29454, 29911, 20923, 25, 23, 23
0.006500000000000004, 15285, 29497, 29572, 29949, 21049, 25, 23, 22
0.006600000000000004, 15301, 29554, 29637, 30127, 21151, 25, 23, 21
0.0067000000000000046, 15289, 29674, 29713, 30199, 21295, 25, 23, 21
0.006800000000000005, 15283, 29780, 29796, 30276, 21410, 35, 23, 22
0.006900000000000005, 15221, 29871, 29872, 30355, 21525, 35, 25, 23
0.007000000000000005, 15316, 29977, 30009, 30427, 21638, 35, 24, 23
0.007100000000000006, 15346, 30036, 30063, 30526, 21746, 29, 23, 23
0.007200000000000006, 15403, 30089, 30121, 30589, 21907, 29, 24, 24
0.007300000000000006, 15408, 30177, 30219, 30632, 22000, 36, 30, 26
0.007400000000000006, 15451, 30286, 30261, 30703, 22114, 32, 30, 30
0.007500000000000007, 15468, 30381, 30340, 30742, 22136, 31, 31, 30
0.007600000000000007, 15474, 30467, 30357, 30771, 22228, 31, 31, 30
0.007700000000000007, 15553, 30539, 30467, 30833, 22304, 31, 29, 29
0.0078000000000000074, 15665, 30599, 30501, 30934, 22394, 33, 31, 26
0.007900000000000008, 15705, 30666, 30498, 30975, 22477, 35, 33, 26
0.008000000000000007, 15737, 30700, 30543, 31048, 22622, 35, 33, 26
0.008100000000000007, 15794, 30715, 30509, 31131, 22724, 34, 33, 33
0.008200000000000006, 15773, 30756, 30572, 31162, 22802, 38, 36, 34
0.008300000000000005, 15765, 30788, 30616, 31216, 22908, 42, 38, 34
0.008400000000000005, 15784, 30874, 30672, 31279, 22964, 42, 38, 34
0.008500000000000004, 15816, 30893, 30742, 31318, 23053, 42, 38, 34
0.008600000000000003, 15826, 30940, 30790, 31362, 23140, 42, 38, 34
0.008700000000000003, 15926, 31049, 30816, 31446, 23231, 41, 37, 35
0.008800000000000002, 15913, 31081, 30838, 31483, 23286, 41, 37, 33
0.008900000000000002, 15883, 31122, 30856, 31520, 23364, 43, 42, 33
0.009000000000000001, 15923, 31149, 30930, 31548, 23457, 43, 39, 33
0.0091, 15991, 31193, 31003, 31556, 23524, 39, 35, 33
0.0092, 16057, 31239, 30990, 31564, 23619, 35, 34, 33
0.0093, 15990, 31289, 31003, 31581, 23684, 39, 38, 33
0.009399999999999999, 15972, 31324, 31052, 31600, 23802, 39, 38, 33
0.009499999999999998, 15928, 31338, 31143, 31651, 23860, 38, 38, 33
0.009599999999999997, 16014, 31365, 31173, 31685, 23890, 39, 38, 35
0.009699999999999997, 16093, 31428, 31216, 31711, 23918, 39, 35, 32
0.009799999999999996, 16072, 31434, 31278, 31726, 23959, 39, 37, 32
0.009899999999999996, 16148, 31397, 31263, 31742, 24043, 39, 37, 32
0.009999999999999995, 16149, 31436, 31309, 31760, 24053, 38, 34, 27
0.010099999999999994, 16132, 31473, 31298, 31750, 24112, 36, 28, 26
0.010199999999999994, 16212, 31480, 31336, 31800, 24189, 36, 28, 26
0.010299999999999993, 16153, 31524, 31331, 31849, 24248, 33, 28, 26
0.010399999999999993, 16145, 31539, 31376, 31865, 24327, 29, 27, 26
0.010499999999999992, 16142, 31554, 31406, 31864, 24348, 29, 26, 26
0.010599999999999991, 16242, 31561, 31399, 31895, 24386, 30, 29, 28
0.01069999999999999, 16219, 31630, 31439, 31913, 24410, 30, 29, 29
0.01079999999999999, 16221, 31657, 31444, 31925, 24463, 33, 30, 27
0.01089999999999999, 16232, 31729, 31454, 31948, 24486, 33, 32, 26
0.010999999999999989, 16205, 31722, 31496, 31976, 24530, 32, 26, 25
0.011099999999999988, 16169, 31731, 31522, 32066, 24607, 34, 28, 26
0.011199999999999988, 16232, 31744, 31504, 32076, 24672, 37, 31, 28
0.011299999999999987, 16303, 31742, 31579, 32070, 24764, 31, 26, 26
0.011399999999999987, 16276, 31723, 31565, 32119, 24855, 27, 26, 26
0.011499999999999986, 16124, 31704, 31591, 32151, 24925, 29, 28, 26
0.011599999999999985, 16208, 31728, 31649, 32199, 24993, 29, 29, 28
0.011699999999999985, 16252, 31723, 31707, 32242, 24995, 29, 28, 26
0.011799999999999984, 16325, 31742, 31739, 32253, 25045, 37, 28, 27
0.011899999999999984, 16415, 31743, 31766, 32322, 25100, 34, 30, 27
0.011999999999999983, 16365, 31817, 31734, 32350, 25127, 30, 27, 27
0.012099999999999982, 16425, 31833, 31742, 32338, 25159, 33, 30, 28
0.012199999999999982, 16388, 31900, 31774, 32356, 25208, 33, 30, 28
0.012299999999999981, 16452, 31963, 31811, 32349, 25249, 33, 33, 29
0.01239999999999998, 16473, 31978, 31861, 32314, 25275, 34, 30, 30
0.01249999999999998, 16443, 31993, 31817, 32323, 25313, 30, 29, 29
0.01259999999999998, 16489, 31997, 31833, 32317, 25364, 30, 29, 29
0.012699999999999979, 16547, 32025, 31848, 32348, 25359, 30, 30, 29
0.012799999999999978, 16549, 32081, 31856, 32318, 25382, 30, 29, 29
0.012899999999999977, 16550, 32084, 31886, 32256, 25462, 29, 29, 25
0.012999999999999977, 16481, 32097, 31939, 32334, 25500, 31, 29, 26
0.013099999999999976, 16482, 32089, 31925, 32318, 25547, 31, 31, 26
0.013199999999999976, 16476, 32074, 31976, 32275, 25553, 35, 31, 28
0.013299999999999975, 16405, 32066, 31960, 32341, 25599, 32, 28, 27
